Source,recipe_name,Target,ingredient_en,Type,book,chapter,section,ingredient_type
B01C012S06,mora_ut_diu_durent,defritum,defritum,Undirected,1,12,6,Additive
B01C012S06,mora_ut_diu_durent,holus,vegetables,Undirected,1,12,7,Vegetables
B01C012S07,holera_ut_diu_serventur,holus,vegetables,Undirected,1,12,7,Vegetables
B01C012S08,rapae_ut_diu_serventur,acetum,vinegar,Undirected,1,12,8,Additive
B01C012S08,rapae_ut_diu_serventur,mel,honey,Undirected,1,12,8,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,sinapis,mustard,Undirected,1,12,9,Spices
B01C012S09,rapae_ut_diu_serventur_aliter_1,acetum,vinegar,Undirected,1,12,9,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,sal,salt,Undirected,1,12,9,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,mel,honey,Undirected,1,12,9,Additive
B01C012S09,rapae_ut_diu_serventur_aliter_1,rapa,turnips,Undirected,1,12,9,Vegetables
B01C012S10,tubera_ut_diu_serventur,tubera,truffles,Undirected,1,12,10,Fungi
B01C012S11,duracina_persica_ut_diu_durent,acetum,vinegar,Undirected,1,12,11,Additive
B01C012S11,duracina_persica_ut_diu_durent,sal,salt,Undirected,1,12,11,Additive
B01C012S11,duracina_persica_ut_diu_durent,persica,peach,Undirected,1,12,11,Fruit
B01C013S01,sales_conditos_ad_multa,piper,pepper,Undirected,1,13,1,Spices
B01C013S01,sales_conditos_ad_multa,anethum,dill,Undirected,1,13,1,Herbs
B01C013S01,sales_conditos_ad_multa,origanum,oregano,Undirected,1,13,1,Herbs
B01C013S01,sales_conditos_ad_multa,thymum,thyme,Undirected,1,13,1,Herbs
B01C013S01,sales_conditos_ad_multa,zingiber,ginger,Undirected,1,13,1,Spices
B01C013S01,sales_conditos_ad_multa,crocus,saffron,Undirected,1,13,1,Spices
B01C013S01,sales_conditos_ad_multa,folium,aromatic leaf,Undirected,1,13,1,Spices
B01C013S01,sales_conditos_ad_multa,apium,celery (celery seed),Undirected,1,13,1,Herbs
B01C013S01,sales_conditos_ad_multa,petroselinum,parsley,Undirected,1,13,1,Herbs
B01C013S01,sales_conditos_ad_multa,sal,salt,Undirected,1,13,1,Additive
B01C014S01,olivas_virides_servare_ut_quovis_tempore,oliva,olives,Undirected,1,14,1,Fruit
B01C014S01,olivas_virides_servare_ut_quovis_tempore,oleum,oil,Undirected,1,14,1,Plants
B01C015S01,cuminatum_in_ostrea_et_conchylia,piper,pepper,Undirected,1,15,1,Spices
B01C015S01,cuminatum_in_ostrea_et_conchylia,cuminum,cumin,Undirected,1,15,1,Spices
B01C015S01,cuminatum_in_ostrea_et_conchylia,malabathrum,malabathrum,Undirected,1,15,1,Spices
B01C015S01,cuminatum_in_ostrea_et_conchylia,folium,aromatic leaf,Undirected,1,15,1,Spices
B01C015S01,cuminatum_in_ostrea_et_conchylia,petroselinum,parsley,Undirected,1,15,1,Herbs
B01C015S01,cuminatum_in_ostrea_et_conchylia,liquamen,liquamen,Undirected,1,15,1,Additive
B01C015S01,cuminatum_in_ostrea_et_conchylia,acetum,vinegar,Undirected,1,15,1,Additive
B01C015S01,cuminatum_in_ostrea_et_conchylia,mel,honey,Undirected,1,15,1,Additive
B01C015S01,cuminatum_in_ostrea_et_conchylia,ligusticum,lovage,Undirected,1,15,1,Herbs
B01C015S01,cuminatum_in_ostrea_et_conchylia,menta,mint,Undirected,1,15,1,Herbs
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,piper,pepper,Undirected,1,15,2,Spices
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,cuminum,cumin,Undirected,1,15,2,Spices
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,petroselinum,parsley,Undirected,1,15,2,Herbs
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,liquamen,liquamen,Undirected,1,15,2,Additive
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,acetum,vinegar,Undirected,1,15,2,Additive
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,mel,honey,Undirected,1,15,2,Additive
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,ligusticum,lovage,Undirected,1,15,2,Herbs
B01C015S02,cuminatum_in_ostrea_et_conchylia_aliter_,menta,mint,Undirected,1,15,2,Herbs
B01C016S01,laseratum,piper,pepper,Undirected,1,16,1,Spices
B01C016S01,laseratum,laser,laser,Undirected,1,16,1,Spices
B01C016S01,laseratum,petroselinum,parsley,Undirected,1,16,1,Herbs
B01C016S01,laseratum,liquamen,liquamen,Undirected,1,16,1,Additive
