Id,ingredient_en,ingredient_type,comments,ancient_source
pirum,pear,Fruit,,
piscis,fish,Fish,,
pisum,peas,Legumes,,
polypus,octopus,Seafood,,
porcellus,suckling_pig,Meat,,
porcus,pork,Meat,,
porrum,leeks,Vegetables,,
praecoquis,apricots,Fruit,,
prunum,plums,Fruit,,
prunum_damascenum,damascene_plums,Fruit,,
pulegium,pennyroyal,Herbs,,
pullus,chicken,Meat,,
pulmones,lungs,Meat,,
pyrethrum,pellitory,Spices,,
rapa,turnips,Vegetables,,
raphanus,radish,Vegetables,,
rhus,sumac,Spices,,
ruta,rue,Herbs,,
sal,salt,Additive,,
salsamenta,salt_fish,Additive,,
salvia,sage,Herbs,,
sarda,sardine,Fish,,
satureia,savory,Herbs,,
scilla,sea_onion,Plants,,
sepia,cuttlefish,Seafood,,
serpyllum,wild_thyme,Herbs,,
sesamum,sesame,Nuts_&_Seeds,,
silphium,silphium,Spices,now-extinct plant; likely related to asafoetida,"Pliny, Nat. Hist. 19.15; Theophrastus, Hist. Plant. 6.3; Dioscorides, Mat. Med. 3.80"
simila,fine_flour,Cereals,,
sinapis,mustard,Spices,,
solea,sole,Fish,,
sorba,service_berries,Fruit,,
sphondylus,hogweed,Plants,,
spica_nardi,indian_spikenard,Spices,,
struthio,ostrich,Meat,,
vulva,womb,Meat,,
thymum,thyme,Herbs,,
tisana,barley_grain,Cereals,,
torpedo,electric_ray,Fish,,
tubera,truffles,Fungi,,
turdus,thrush,Meat,,
turtur,turtle_dove,Meat,,
ungellae,trotters,Meat,,
urtica,nettles,Plants,,
urtica_marina,sea_anemones,Seafood,,
uva,grapes,Fruit,,
uvae_passae,raisins,Fruit,,
vinum,wine,Alcoholic_Beverages,,
viola,violet,Flowers,,
vitellina,veal,Meat,,
zingiber,ginger,Spices,,
